number,post date,ex/eff date, title
56715,Jun-16-2025,Jun-17-2025,"S&P 500 INDEX PM/EURO - Flex Position Consolidations Option Symbol: 4SPX"
56713,Jun-16-2025,Jun-16-2025,"GlycoMimetics, Inc. - Reverse Split and Name/Symbol/CUSIP Change Option Symbol: 06/16/2025 - GLYC remains GLYC 06/17/2025 - GLYC becomes CBIO1"
56703,Jun-13-2025,,"GlycoMimetics, Inc. - Anticipated Reverse Split and Name/Symbol/CUSIP Change Option Symbol: GLYC New Symbol: CBIO1"
56701,Jun-13-2025,Jun-16-2025,"Multiple Flex Position Consolidations"
56688,Jun-11-2025,Jun-12-2025,"S&P 500 INDEX PM/EURO - Flex Position Consolidations Option Symbol: 4SPX"
56684,Jun-10-2025,Jun-11-2025,"Multiple Flex Position Consolidations"
56678,Jun-09-2025,Jun-10-2025,"Outbrain Inc. - Name/Symbol Change Option Symbol: OB New Symbol: TEAD"
56676,Jun-09-2025,Jun-10-2025,"S&P 500 INDEX PM/EURO - Flex Position Consolidations Option Symbol: 4SPX"
56667,Jun-05-2025,Jun-06-2025,"Multiple Flex Position Consolidations"
56662,Jun-04-2025,Jun-05-2025,"S&P 500 INDEX PM/EURO - Flex Position Consolidations Option Symbol: 4SPX"
56659,Jun-03-2025,Jun-04-2025,"S&P 500 INDEX PM/EURO - Flex Position Consolidation Option Symbol: 4SPX"
56656,Jun-02-2025,Jun-03-2025,"Multiple Flex Position Consolidations"
56614,May-27-2025,May-28-2025,"United States Steel Corporation - Flex Position Consolidation Option Symbol: 1X"
56608,May-23-2025,May-27-2025,"S&P 500 MINI INDEX PM/EURO - Flex Position Consolidation Option Symbol: 4XSP"
56600,May-22-2025,May-23-2025,"Multiple Flex Position Consolidations"
56593,May-21-2025,May-22-2025,"S&P 500 INDEX PM/EURO - Flex Position Consolidations Option Symbol: 4SPX"
56588,May-20-2025,Jun-02-2025,"WisdomTree Europe Hedged SmallCap Equity Fund - Name/Symbol Change Option Symbol: EUSC New Symbol: OPPE"
56582,May-20-2025,May-21-2025,"Multiple Flex Position Consolidations"
56570,May-19-2025,May-20-2025,"Multiple Flex Position Consolidations"
56566,May-16-2025,May-19-2025,"Multiple Flex Position Consolidations"
56557,May-15-2025,May-16-2025,"Multiple Flex Position Consolidations"
56550,May-14-2025,,"Acceleration of Expirations/May 2025 Expiration"
56547,May-14-2025,May-15-2025,"Bank of America Corporation - Flex Position Consolidation Option Symbol: 1BAC"
56542,May-13-2025,May-14-2025,"Multiple Flex Position Consolidations"
56531,May-12-2025,May-13-2025,"S&P 500 INDEX PM/EURO - Flex Position Consolidation Option Symbol: 4SPX"
56518,May-08-2025,May-09-2025,"Philip Morris International, Inc. - Flex Position Consolidation Option Symbol: 1PM"
56515,May-07-2025,May-08-2025,"S&P 500 INDEX AM/EURO - Flex Position Consolidations Option Symbol: 2SPX"
56510,May-06-2025,May-09-2025,"Barrick Gold Corporation - Name/Symbol/CUSIP Change Option Symbols: GOLD/2GOLD New Symbols: B/2B"
56501,May-05-2025,May-06-2025,"SJW Group - Name/Symbol Change Option Symbol: SJW New Symbol: HTO"
56499,May-05-2025,May-06-2025,"S&P 500 INDEX PM/EURO - Flex Position Consolidations Option Symbol: 4SPX"
56490,May-01-2025,May-02-2025,"Multiple Flex Position Consolidations"
56478,Apr-30-2025,May-01-2025,"MYT Netherlands Parent B.V. - Name/Symbol Change Option Symbol: MYTE New Symbol: LUXE"
56459,Apr-28-2025,Apr-29-2025,"Aerovate Therapeutics, Inc. - Contract Adjustment Option Symbol: AVTE New Symbol: JBIO1"
56452,Apr-25-2025,Apr-28-2025,"S&P 500 INDEX PM/EURO - Flex Position Consolidation Option Symbol: 4SPX"
56449,Apr-24-2025,,"Aerovate Therapeutics, Inc. - Anticipated Adjustment Option Symbol: AVTE New Symbol: JBIO1"
56445,Apr-24-2025,Apr-25-2025,"Multiple Flex Position Consolidations"
56438,Apr-23-2025,Apr-24-2025,"Organovo Holdings, Inc. - Name/Symbol Change Adjusted Option Symbol: ONVO1 New Symbol: VIVS1"
56436,Apr-23-2025,Apr-24-2025,"S&P 500 MINI INDEX PM/EURO - Flex Position Consolidation Option Symbol: 4XSP"
56422,Apr-22-2025,Apr-23-2025,"Keros Therapeutics, Inc. - Flex Position Consolidation Option Symbol: 1KROS"
56413,Apr-21-2025,Apr-22-2025,"Multiple Flex Position Consolidations"
56399,Apr-17-2025,Apr-21-2025,"Multiple Flex Position Consolidations"
56374,Apr-16-2025,,"Acceleration of Expirations/April 2025 Expiration"
56366,Apr-15-2025,Apr-16-2025,"Adjusted Cara Therapeutics, Inc. - Further Adjustment Adjusted Option Symbol: CARA1 New Adjusted Option Symbol: TVRD1"
56328,Apr-08-2025,Apr-09-2025,"Multiple Flex Position Consolidations"
56322,Apr-07-2025,Apr-08-2025,"Multiple Flex Position Consolidations"
56317,Apr-04-2025,Apr-07-2025,"Multiple Flex Position Consolidations"
56311,Apr-03-2025,Apr-04-2025,"Multiple Flex Position Consolidations"
56291,Apr-01-2025,Apr-02-2025,"iShares Russell 2000 ETF - Flex Position Consolidation Option Symbol: 1IWM"
56284,Mar-31-2025,Apr-01-2025,"Global X Funds Global X Thematic Growth ETF - Name/Symbol Change Option Symbol: GXTG New Symbol: GXDW"
56283,Mar-31-2025,Apr-01-2025,"Global X Funds Global X Telemedicine & Digital Health ETF - Name/Symbol Change Option Symbol: EDOC New Symbol: HEAL"
56262,Mar-27-2025,Mar-28-2025,"MSCI EAFE Index - Flex Position Consolidation Option Symbol: 4MXEA"
56259,Mar-26-2025,Mar-27-2025,"Primo Brands Corporation - Flex Position Consolidation Option Symbol: 1PRMB"
56252,Mar-25-2025,Mar-26-2025,"PBF Energy Inc. - Flex Position Consolidation Option Symbol: 1PBF"
56248,Mar-24-2025,Mar-25-2025,"Multiple Flex Position Consolidations"
56239,Mar-21-2025,Mar-24-2025,"Surgery Partners, Inc. - Flex Position Consolidation Option Symbol: 1SGRY"
56229,Mar-20-2025,Mar-21-2025,"Multiple Flex Position Consolidations"
56227,Mar-19-2025,,"Acceleration of Expirations/March 2025 Expiration"
56224,Mar-19-2025,Mar-20-2025,"Multiple Flex Position Consolidations"
56221,Mar-18-2025,Mar-19-2025,"AlloVir, Inc. - Name/Symbol/CUSIP Change Adjusted Option Symbol: ALVR1 New Symbol: KLRS1"
