Old Ticker,New Ticker,Search Term,Memo Title,Effective Date,Post Date,Classification
FBMS,RNST,FBMS RNST,"The First Bancshares, Inc. - Contract Adjustment Option Symbol: 04/01/2025 - FBMS remains FBMS 04/02/2025 - FBMS becomes RNST
Contract Adjustment|Options",04/01/2025,03/31/2025,Adjustment
FBMS,RNST,FBMS RNST,"The First Bancshares, Inc. - Anticipated Adjustment Option Symbol: FBMS New Symbol: RNST
Contract Adjustment|Options",,03/21/2025,Adjustment
SQY,XYZY,SQY XYZY,"YieldMax SQ Option Income Strategy ETF - Name/Symbol Change Option Symbol: SQY New Symbol: XYZY
Contract Adjustment|Options",04/01/2025,03/18/2025,Adjustment
YY,JOYY,YY JOYY,"JOYY Inc. - Symbol Change Option Symbol: YY New Symbol: JOYY
Contract Adjustment|Options",03/31/2025,03/28/2025,Adjustment
KRUZ,GOP,KRUZ GOP,"Unusual Whales Subversive Republican Trading ETF - Symbol Change Option Symbol: KRUZ New Symbol: GOP
Contract Adjustment|Options",03/21/2025,03/20/2025,Adjustment
CDXC,NAGE,CDXC NAGE,"ChromaDex Corporation - Name/Symbol Change Option Symbol: CDXC New Symbol: NAGE
Contract Adjustment|Options",03/19/2025,03/18/2025,Adjustment
AADI,WHWK,AADI WHWK,"Aadi Bioscience, Inc. - Name/Symbol Change Option Symbol: AADI New Symbol: WHWK
Contract Adjustment|Options",03/19/2025,03/18/2025,Adjustment
ALVR,KLRS,ALVR KLRS,"AlloVir, Inc. - Name/Symbol/CUSIP Change Adjusted Option Symbol: ALVR1 New Symbol: KLRS1
Contract Adjustment|Options",03/19/2025,03/18/2025,Adjustment
PUTW,WTPI,PUTW WTPI,"WisdomTree PutWrite Strategy Fund - Name/Symbol Change Option Symbol: PUTW New Symbol: WTPI
Contract Adjustment|Options",04/04/2025,02/24/2025,Adjustment
ICLK,AMBR,ICLK AMBR,"iClick Interactive Asia Group Limited - Name/Symbol Change Option Symbol: ICLK New Symbol: AMBR
Contract Adjustment|Options",03/13/2025,03/12/2025,Adjustment
FFIE,FFAI,FFIE FFAI,"Faraday Future Intelligent Electric Inc. - Symbol Change Option Symbols: FFIE/FFIE1/FFIE3 New Symbols: FFAI/FFAI1/FFAI3
Contract Adjustment|Options",03/10/2025,03/07/2025,Adjustment
