Old Ticker,New Ticker,Effective Date
FBMS,RNST,4/1/2025
SQY,XYZY,4/1/2025
YY,JOYY,3/31/2025
ME,MEHCQ,3/31/2025
KRUZ,GOP,3/21/2025
CDXC,NAGE,3/19/2025
AADI,WHWK,3/19/2025
ALVR,KLRS,3/19/2025
PUTW,WTPI,4/4/2025
CUTR,CUTRQ,3/13/2025
ICLK,AMBR,3/13/2025
FFIE,FFAI,3/10/2025
FREY,TE,3/3/2025
MPLN,CTEV,2/28/2025
LICY,LICYF,2/27/2025
NKLA,NKLAQ,2/26/2025
OMGA,OMGAQ,2/25/2025
QRTEA,QVCGA,2/24/2025
HTBI,HTB,2/24/2025
TPX,SGI,2/18/2025
NEP,XIFR,2/3/2025
NETZ,PWRD,2/3/2025
LAAC,LAR,1/27/2025
SQ,XYZ,1/21/2025
CEIX,CNR,1/15/2025
SPI,SPIEF,1/15/2025
ASAI,ASAIY,1/10/2025
HEAR,TBCH,1/7/2025
JBT,JBTM,1/3/2025
VVI,PRSU,1/2/2025
BGNE,ONC,1/2/2025
BSIG,AAMI,1/2/2025
VCAR,TESL,1/2/2025
LEV,LEVGQ,12/19/2024
AKTS,AKTSQ,12/18/2024
TTAC,ABFL,12/13/2024
BOWL,LUCK,12/12/2024
IDEX,IDEXQ,12/5/2024
ICDI,ICDIQ,12/4/2024
AJX,RPT,12/3/2024
CGA,ENFY,11/26/2024
SAVE,SAVEQ,11/19/2024
PRMW,PRMB,11/11/2024
LILM,LILMF,11/7/2024
VEV,VEVMQ,10/31/2024
OCUP,IRD,10/24/2024
FANH,AIFU,10/23/2024
GRTS,GRTSQ,10/22/2024
IVES,AIVC,10/21/2024
ORAN,ORANY,10/18/2024
SGH,PENG,10/15/2024
RNLX,RNLXY,10/8/2024
VTNR,VTNRQ,10/8/2024
EVA,EVVAQ,10/7/2024
AMSWA,LGTY,10/2/2024
CHK,EXE,10/2/2024
EBLU,TBLU,9/30/2024
JEPY,WDTE,9/24/2024
BFI,BFICQ,9/23/2024
TUP,TUPBQ,9/20/2024
SICP,SICPQ,9/19/2024
SOI,SEI,9/12/2024
VLD,VLDX,9/11/2024
BIG,BIGGQ,9/10/2024
DRQ,INVX,9/9/2024
BNRE,BNT,9/6/2024
ICD,ICDI,8/29/2024
CPLP,CCEC,8/26/2024
ALLG,ALLGF,8/26/2024
GPS,GAP,8/22/2024
SPWR,SPWRQ,8/16/2024
HUGE,QNTM,8/15/2024
LL,LLFLQ,8/14/2024
VBIV,VBIVQ,8/8/2024
CEI,CEIN,8/8/2024
CONN,CONNQ,8/6/2024
UCBI,UCB,8/6/2024
PNM,TXNM,8/5/2024
VWE,VWESQ,8/2/2024
SMLP,SMC,8/1/2024
IRBO,ARTY,8/12/2024
FIVG,SIXG,7/22/2024
EURN,CMBT,7/15/2024
FTCHF,FTCHQ,7/12/2024
CSSE,CSSEQ,7/3/2024
PWFL,AIOT,7/1/2024
TNP,TEN,7/1/2024
DMTK,DMTKQ,6/28/2024
FSRN,FSRNQ,6/20/2024
RBT,RBTC,6/11/2024
OCN,ONIT,6/10/2024
HLTH,HLTHQ,6/6/2024
LIFE,ATYR,6/5/2024
ISUN,ISUNQ,6/5/2024
BRP,BWIN,5/20/2024
CNHI,CNH,5/20/2024
CPG,VRN,5/15/2024
WISH,LOGC,5/13/2024
ALCC,OKLO,5/10/2024
CONX,CNXX,5/8/2024
CBD,CBDBY,4/19/2024
XLYO,XYLO,4/19/2024
MDGS,XLYO,4/18/2024
SRNEQ,SRNE,4/15/2024
CASA,CASSQ,4/8/2024
GMDA,GMDAQ,4/8/2024
AAU,AAUAF,4/5/2024
ONTX,TRAW,4/3/2024
MIMO,MIMOQ,4/2/2024
CVCY,CWBC,4/1/2024
VPN,DTCR,4/1/2024
JOAN,JOANQ,3/28/2024
FSR,FSRN,3/26/2024
CURO,CUROQ,3/26/2024
DWAC,DJT,3/26/2024
FLT,CPAY,3/25/2024
CRGE,CRGEQ,3/8/2024
BFX,BFXXQ,3/7/2024
PEAK,DOC,3/5/2024
CPSI,TBRG,3/4/2024
TIO,TIOG,3/4/2024
